Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
14/07/2020,RELIANCE,EQ,1935,1934,1941.7,1887.3,1915,1917,1917.96,31073591,5.95978E+15,569875,8520789,0.2742
15/07/2020,RELIANCE,EQ,1917,1937.95,1978.8,1798,1842.35,1844,1917.63,64458598,1.2360795532325E+16,1285533,10789672,0.1674
16/07/2020,RELIANCE,EQ,1844,1847,1869,1812.45,1842.05,1843.4,1844.01,28133993,5.18794E+15,543130,6562839,0.2333
17/07/2020,RELIANCE,EQ,1843.4,1845,1920,1838,1916,1911.7,1876.25,22949535,4.30592E+15,487421,4591431,0.2001
20/07/2020,RELIANCE,EQ,1911.7,1917.8,1932,1899.65,1921.95,1919.9,1916.93,16887752,3.23726E+15,339625,3836078,0.2272
21/07/2020,RELIANCE,EQ,1919.9,1939,1977,1936.5,1973.5,1971.55,1962.43,19463498,3.81957E+15,375090,5672596,0.2914
22/07/2020,RELIANCE,EQ,1971.55,1983,2010,1960.7,2004,2004,1993.46,27584769,5.49891E+15,547567,8711054,0.3158
23/07/2020,RELIANCE,EQ,2004,2003.95,2079.7,1991.35,2076,2057.8,2035.95,26921058,5.48101E+15,498584,9589647,0.3562
24/07/2020,RELIANCE,EQ,2057.8,2058,2163,2057.8,2148.4,2146.15,2128.53,55656793,1.1846687631235E+16,1078097,12522509,0.225
27/07/2020,RELIANCE,EQ,2146.15,2178.8,2198.8,2127.9,2154.95,2156.2,2169.68,37060949,8.04103E+15,781374,5262824,0.142
28/07/2020,RELIANCE,EQ,2156.2,2156.2,2194,2150.65,2177,2177.7,2175.67,25435618,5.53396E+15,528044,5577191,0.2193
29/07/2020,RELIANCE,EQ,2177.7,2177.9,2182.8,2070.45,2092,2096.65,2124.29,33536361,7.12411E+15,738739,9443206,0.2816
30/07/2020,RELIANCE,EQ,2096.65,2099,2139.7,2072,2101.9,2108.85,2111.03,33624516,7.09824E+15,663693,6855972,0.2039
31/07/2020,RELIANCE,EQ,2108.85,2114.5,2129,2052.8,2070,2067.1,2077.02,34593375,7.18512E+15,748942,9000404,0.2602
03/08/2020,RELIANCE,EQ,2067.1,2051.3,2057,2003.1,2007.65,2009,2029.05,21560137,4.37467E+15,515571,6839066,0.3172
04/08/2020,RELIANCE,EQ,2009,2020.6,2167,2000.25,2158.4,2150.6,2098.08,42477225,8.91205E+15,827312,7253795,0.1708
05/08/2020,RELIANCE,EQ,2150.6,2169,2196,2118.3,2132.1,2126.45,2153.72,34405886,7.41005E+15,704272,3949479,0.1148
06/08/2020,RELIANCE,EQ,2126.45,2157,2167.7,2107.8,2136.55,2134.1,2139.59,22762726,4.87028E+15,468092,3095157,0.136
07/08/2020,RELIANCE,EQ,2134.1,2129.8,2157.8,2120.2,2146,2146.45,2141.31,15222384,3.25958E+15,329099,3705643,0.2434
10/08/2020,RELIANCE,EQ,2146.45,2159.1,2165,2108.1,2121.6,2119.85,2136.58,12441939,2.65832E+15,300073,2893247,0.2325
11/08/2020,RELIANCE,EQ,2119.85,2134.8,2160,2100.35,2132.85,2133.8,2133.3,21611359,4.61034E+15,491594,4174558,0.1932
12/08/2020,RELIANCE,EQ,2133.8,2121,2145,2106.8,2126.55,2127.6,2129.79,13967529,2.97479E+15,308155,2213804,0.1585
13/08/2020,RELIANCE,EQ,2127.6,2128,2138.9,2110,2125.8,2122.05,2122.69,11459251,2.43245E+15,266729,3601994,0.3143
14/08/2020,RELIANCE,EQ,2122.05,2122.55,2157,2089.25,2112,2113.8,2129.96,15333759,3.26603E+15,346390,2362119,0.154
17/08/2020,RELIANCE,EQ,2113.8,2105,2105,2070.1,2094.05,2091.35,2085.65,14297224,2.98191E+15,324590,2115024,0.1479
18/08/2020,RELIANCE,EQ,2091.35,2085,2134.3,2082.35,2120.2,2118.55,2118.58,14097932,2.98675E+15,281219,2559498,0.1816
19/08/2020,RELIANCE,EQ,2118.55,2141,2154,2121.35,2137,2131.55,2137.37,15731409,3.36238E+15,288995,2518453,0.1601
20/08/2020,RELIANCE,EQ,2131.55,2120,2123.9,2088,2098.6,2097.05,2109.01,10402292,2.19385E+15,267102,2363592,0.2272
21/08/2020,RELIANCE,EQ,2097.05,2118,2122,2077,2084.75,2081.85,2096.99,11667281,2.44662E+15,296981,2236600,0.1917
24/08/2020,RELIANCE,EQ,2081.85,2091.4,2104.5,2070.5,2099.95,2095.75,2090.25,15099030,3.15607E+15,323471,2697292,0.1786
25/08/2020,RELIANCE,EQ,2095.75,2106,2111.3,2078,2082,2082.1,2089.41,8947709,1.86954E+15,202929,2014450,0.2251
26/08/2020,RELIANCE,EQ,2082.1,2085,2147.95,2047,2133.7,2137.3,2102.41,27631028,5.80917E+15,533755,6707265,0.2427
27/08/2020,RELIANCE,EQ,2137.3,2148,2150,2103.25,2108.1,2110.6,2126.98,12962139,2.75702E+15,297474,3408902,0.263
28/08/2020,RELIANCE,EQ,2110.6,2120,2132.9,2106.25,2116,2116.15,2118.85,12537684,2.65655E+15,267973,2828812,0.2256
31/08/2020,RELIANCE,EQ,2116.15,2174,2174,2060.35,2070,2080.7,2118.64,28649141,6.06972E+15,541760,7212259,0.2517
01/09/2020,RELIANCE,EQ,2080.7,2100,2122.4,2062.4,2092,2087.25,2091.83,17821488,3.72795E+15,327904,4956555,0.2781
02/09/2020,RELIANCE,EQ,2087.25,2092,2138,2085,2128.55,2128.2,2119.29,12437209,2.63581E+15,281041,3376204,0.2715
03/09/2020,RELIANCE,EQ,2128.2,2128,2138.75,2103,2114,2112.1,2112.86,8577741,1.81236E+15,219117,3249170,0.3788
04/09/2020,RELIANCE,EQ,2112.1,2083.55,2096.95,2072.2,2080,2077.25,2084.73,13141705,2.73969E+15,365456,5968727,0.4542
07/09/2020,RELIANCE,EQ,2077.25,2084,2105.75,2044.25,2099.6,2082.65,2071.8,10119099,2.09647E+15,255801,2619452,0.2589
08/09/2020,RELIANCE,EQ,2082.65,2092,2121,2080.5,2103.1,2107.1,2108.01,12643762,2.66532E+15,287150,2734033,0.2162
